price,area,location
730000,,Lotus Gardens
,,
900000,,Maroelana
,,
2890000,,Silverfields
,,
1746975,,Krugersdorp North
,,
3450000,,Mackenzie Park
,,
1350000,,Ga-rankuwa Unit 20
,,
1299000,,Buccleuch
,,
2200000,,Elsburg
,,
6900000,,Witpoortjie
,,
1280000,,Stretford
,,
1695000,,Vanderbijlpark CW 5
,,
2900000,,Crystal Park
,,
1716750,,Etwatwa
,,
12000000,,Kenmare
,,
4450000,,Daleside
,,
2295000,,Ga-rankuwa Unit 20
,,
1399000,,Selcourt
,,
1999000,,Ninapark
,,
2270000,,Olivedale
,,
2295000,,Florida Lake
,,
2750000,,Lakefield
,,
1395000,,Blue Hills Country Estate
,,
945000,,Ebotse Golf Estate
,,
3190000,,Weltevreden Park
,,
819000,,Lynnwood Manor
,,
4800000,,Northdene
,,
4299000,,Soshanguve VV
,,
650000,,Rensburg
,,
850000,,Selcourt
,,
1200000,,Hatfield
,,
3250000,,Glen Marais
,,
2950000,,Vanderbijlpark SE 7
,,
1590000,,Soshanguve South Ext 3
,,
1390000,,Dunvegan
,,
6600000,,Beverley
,,
3150000,,Slovo
,,
17900000,,Bryanston
,,
799000,,Windmill Park
,,
1265000,,Sky City
,,
2295000,,Waterkloof Glen
,,
1900000,,Kosmosdal
,,
3950000,,Mamelodi East
,,
995000,,Mahube Valley
,,
1450000,,Philip Nel Park
,,
5800000,,Eye Of Africa Estate
,,
998000,,Ebotse Golf Estate
,,
700000,,Three Rivers East
,,
1990000,,Kirkney
,,
3800000,,Westdene
,,
2299000,,Kirkney
,,
950000,,Kilner Park
,,
4320000,,Dainfern Golf Estate
,,
1795000,,Westonaria
,,
1449000,,North Riding
,,
4700000,,Bassonia
,,
789900,,Lonehill
,,
6415000,,Soshanguve South Ext 3
,,
